Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Date
1908,Qtr 3,1,17,United States,Wright,Wright Flyer,virginia,Army U.S. - Military,0.0,1.0,2.0,1908-01-17
1909,Qtr 3,1,7,France,Wright,Wright Byplane,france,Unknown,0.0,1.0,1.0,1909-01-07
1912,Qtr 3,1,12,Unknown,Unknown,Dirigible,atlantic,Navy U.S. - JerseyMilitary,0.0,5.0,5.0,1912-01-12
1913,Qtr 3,1,6,United Kingdom,Curtiss,Curtiss Seaplane,victoria british,Canada          Columbia Private,0.0,1.0,1.0,1913-01-06
1913,Qtr 3,1,9,Unknown,Zeppelin,Zeppelin L 1 (Airship),over the north seamilitary - german navy,Unknown,0.0,14.0,20.0,1913-01-09
1913,Qtr 4,1,17,Unknown,Zeppelin,Zeppelin L 2 (Airship),near johannisthal germany,Navy German - Military,0.0,28.0,28.0,1913-01-17
1915,Qtr 1,1,5,Unknown,Zeppelin,Zeppelin L 8 (Airship),tienen belgium,Navy German - Military,0.0,17.0,41.0,1915-01-05
1915,Qtr 3,1,3,Unknown,Zeppelin,Zeppelin L 10 (Airship),off cuxhaven germany,Navy German - Military,0.0,19.0,19.0,1915-01-03
1916,Qtr 3,1,28,Bulgaria,Schütte-Lanz,Schutte Lanz S,near jambol bulgeria,Army German - Military,0.0,20.0,20.0,1916-01-28
1916,Qtr 3,1,24,Unknown,Zeppelin,Zeppelin L 32 (Airship),billericay england,Navy German - Military,0.0,22.0,22.0,1916-01-24
1916,Qtr 4,1,1,Unknown,Zeppelin,Zeppelin L 31 (Airship),potters bar england,Navy German - Military,0.0,19.0,19.0,1916-01-01
1916,Qtr 4,1,21,Unknown,Zeppelin,Super Zeppelin (Airship),mainz germany,Army German - Military,0.0,27.0,28.0,1916-01-21
1916,Qtr 4,1,28,Unknown,Zeppelin,Zeppelin L 34 (Airship),off west hartlepool england,Navy German - Military,0.0,20.0,20.0,1916-01-28
1917,Qtr 1,1,4,Unknown,Unknown,Airship,near gent belgium,Army German - Military,0.0,20.0,20.0,1917-01-04
1917,Qtr 1,1,30,Unknown,Schütte-Lanz,Schutte Lanz S,off northern germanymilitary - german navy,Unknown,0.0,23.0,23.0,1917-01-30
1917,Qtr 2,1,14,Unknown,Zeppelin,Zeppelin L 22 (Airship),near texel island north,Navy German - SeaMilitary,0.0,21.0,21.0,1917-01-14
1917,Qtr 2,1,14,Unknown,Zeppelin,Zeppelin L 43 (Airship),off vlieland island north,Navy German - SeaMilitary,0.0,24.0,24.0,1917-01-14
1917,Qtr 2,1,17,United Kingdom,Zeppelin,Zepplin L 48 (Air Ship)L,near yarmouth england?,Unknown,0.0,14.0,16.0,1917-01-17
1917,Qtr 3,1,21,Unknown,Zeppelin,Zeppelin L 23 (Airship),off western denmarkmilitary - german navy,Unknown,0.0,18.0,18.0,1917-01-21
1917,Qtr 4,1,20,Unknown,Zeppelin,Zeppelin L 44 (Airship),near luneville france,Navy German - Military,0.0,18.0,18.0,1917-01-20
1918,Qtr 2,1,7,Unknown,Zeppelin,Zeppelin L 59 (Airship),over the mediterraneanmilitary - german navy,Unknown,0.0,23.0,23.0,1918-01-07
1918,Qtr 3,1,5,Unknown,Zeppelin,Zeppelin L 70 (Airship),off helgoland island germany,Navy German - Military,0.0,22.0,22.0,1918-01-05
1918,Qtr 3,1,11,Unknown,Zeppelin,Zeppelin L 53 (Airship),ameland island north,Navy German - SeaMilitary,0.0,19.0,19.0,1918-01-11
1918,Qtr 4,1,16,Unknown,De Havilland,De Havilland Dh 497,elizabeth new,Service Mail Aerial JerseyUS,0.0,1.0,1.0,1918-01-16
1919,Qtr 2,1,25,United States,De Havilland,De Havilland Dh 461,cleveland ohio,Service Mail Aerial US,0.0,1.0,1.0,1919-01-25
1919,Qtr 3,1,19,United States,De Havilland,De Havilland Dh 482,dix run pennsylvania,Service Mail Aerial US,0.0,1.0,1.0,1919-01-19
1919,Qtr 3,1,21,United States,Fd Type,Fd Type Dirigible,chicago illinois,Tire Goodyear Express Air Wingfoot,10.0,3.0,0.0,1919-01-21
1919,Qtr 3,1,2,Unknown,Caproni,Caproni Ca.48,verona italy,Company Caproni,0.0,14.0,14.0,1919-01-02
1919,Qtr 4,1,2,Unknown,De Havilland,De Havilland Dh 4,newcastle england,Travel and Transport Aircraft,0.0,1.0,1.0,1919-01-02
1919,Qtr 4,1,14,United States,Curtiss,Curtiss R 4Lm32,cantonsville maryland,Service Mail Aerial US,0.0,1.0,1.0,1919-01-14
1919,Qtr 4,1,20,United States,De Havilland,De Havilland Dh 4G,english channel off forkstone kent,Travel and Transport Aircraft,0.0,0.0,0.0,1919-01-20
1919,Qtr 4,1,30,Unknown,De Havilland,De Havilland Dh.477,long valley new,Service Mail Aerial JerseyUS,0.0,1.0,1.0,1919-01-30
